iter	Passed	Remaining
817	2417	537
818	2420	534
819	2423	531
820	2426	529
821	2429	526
822	2432	523
823	2435	520
824	2438	517
825	2441	514
826	2444	511
827	2447	508
828	2450	505
829	2453	502
830	2456	499
831	2459	496
832	2462	493
833	2465	490
834	2468	487
835	2471	484
836	2474	481
837	2477	478
838	2480	475
839	2483	473
840	2486	470
841	2489	467
842	2492	464
843	2495	461
844	2498	458
845	2501	455
846	2504	452
847	2507	449
848	2509	446
849	2512	443
850	2515	440
851	2518	437
852	2521	434
853	2525	431
854	2527	428
855	2530	425
856	2533	422
857	2552	422
858	2558	419
859	2562	417
860	2567	414
861	2572	411
862	2576	409
863	2580	406
864	2583	403
865	2587	400
866	2591	397
867	2595	394
868	2599	391
869	2602	388
870	2605	385
871	2607	382
872	2610	379
873	2613	376
874	2616	373
875	2619	370
876	2622	367
877	2624	364
878	2627	361
879	2629	358
880	2632	355
881	2635	352
882	2637	349
883	2640	346
884	2643	343
885	2645	340
886	2648	337
887	2651	334
888	2654	331
889	2656	328
890	2659	325
891	2662	322
892	2665	319
893	2668	316
894	2671	313
895	2674	310
896	2677	307
897	2680	304
898	2683	301
899	2686	298
900	2688	295
901	2692	292
902	2695	289
903	2697	286
904	2700	283
905	2702	280
906	2705	277
907	2708	274
908	2710	271
909	2714	268
910	2717	265
911	2720	262
912	2723	259
913	2726	256
914	2729	253
915	2732	250
916	2735	247
917	2738	244
918	2740	241
919	2743	238
920	2746	235
921	2749	232
922	2752	229
923	2754	226
924	2757	223
925	2760	220
926	2763	217
927	2766	214
928	2769	211
929	2772	208
930	2775	205
931	2778	202
932	2781	199
933	2784	196
934	2787	193
935	2790	190
936	2792	187
937	2796	184
938	2798	181
939	2801	178
940	2804	175
941	2806	172
942	2809	169
943	2813	166
944	2817	163
945	2821	161
946	2825	158
947	2829	155
948	2832	152
949	2835	149
950	2839	146
951	2841	143
952	2844	140
953	2847	137
954	2849	134
955	2852	131
956	2855	128
957	2858	125
958	2861	122
959	2863	119
960	2866	116
961	2869	113
962	2872	110
963	2875	107
964	2878	104
965	2880	101
966	2883	98
967	2886	95
968	2889	92
969	2892	89
970	2895	86
971	2898	83
972	2901	80
973	2904	77
974	2907	74
975	2910	71
976	2913	68
977	2916	65
978	2919	62
979	2922	59
980	2924	56
981	2927	53
982	2930	50
983	2933	47
984	2935	44
985	2938	41
986	2941	38
987	2944	35
988	2947	32
989	2950	29
990	2952	26
991	2955	23
992	2958	20
993	2961	17
994	2964	14
995	2967	11
996	2970	8
997	2973	5
998	2976	2
999	2979	0
