iter	RMSE
289	1145586.749
290	1142796.971
291	1140442.996
292	1136815.85
293	1133209.221
294	1132389.826
295	1129425.237
296	1126280.208
297	1125133.765
298	1121866.459
299	1118434.114
300	1115332.145
301	1112820.143
302	1108981.119
303	1105581.655
304	1102485.879
305	1099832.907
306	1097544.507
307	1092150.372
308	1091617.343
309	1087394.42
310	1083788.349
311	1082659.039
312	1079908.461
313	1076138.093
314	1075835.147
315	1073369.727
316	1070447.649
317	1066548.815
318	1064238.388
319	1061092.185
320	1060364.739
321	1058522.933
322	1057796.96
323	1057651.549
324	1055023.05
325	1050071.214
326	1049935.482
327	1047136.412
328	1044913.343
329	1042861.667
330	1040248.91
331	1038165.82
332	1036448.204
333	1036083.617
334	1033072.334
335	1029854.399
336	1026243.877
337	1023420.509
338	1021115.376
339	1020928.131
340	1017525.62
341	1017395.499
342	1014050.676
343	1011860.59
344	1009732.134
345	1008112.976
346	1006491.369
347	1005888.854
348	1004086.02
349	1002159.354
350	999445.781
351	996380.6276
352	994704.8347
353	992161.5935
354	991451.7493
355	989628.4988
356	988863.4471
357	988682.9083
358	986865.722
359	983803.3575
360	982983.6002
361	980731.3488
362	978190.6294
363	976725.8529
364	974920.1496
365	974319.2638
366	971399.1402
367	968994.5437
368	966936.4166
369	966766.1005
370	965295.2807
371	963780.8077
372	962885.3813
373	959438.9695
374	957349.2081
375	956430.3791
376	955058.7298
377	953278.1085
378	952815.7108
379	952279.6291
380	951291.7955
381	950207.8347
382	947401.9001
383	945892.0581
384	943021.5987
385	941060.6012
386	939189.0502
387	937523.4544
388	936015.6655
389	933972.6823
390	932506.1293
391	929813.5361
392	925509.7069
393	923795.4884
394	921404.9199
395	919804.4512
396	918374.257
397	915141.2057
398	913319.3956
399	912398.5411
400	911929.08
401	910894.4356
402	909720.2753
403	906729.1429
404	903269.1104
405	900811.3198
406	900153.7491
407	898723.1233
408	897827.7793
409	896317.2135
410	895625.3272
411	895512.6407
412	893808.5141
413	893626.6819
414	893534.592
415	892045.9891
416	889708.2759
417	887522.2787
418	887360.542
419	885060.399
420	884870.5952
421	883975.5787
422	881699.3968
423	879183.7879
424	877055.6459
425	876940.9192
426	875542.1104
427	873375.9669
428	872335.933
429	870415.1328
430	869085.9119
431	868965.5105
432	866684.6511
433	864670.261
434	862982.1078
435	861480.9604
436	859497.6748
437	856557.6831
438	856325.9692
439	853459.2673
440	852193.1046
441	850036.2162
442	849909.6347
443	848265.0173
444	846653.1311
445	844272.1858
446	841313.8405
447	838792.1306
448	837010.5516
449	836685.479
450	834879.2938
451	832956.833
452	830404.6043
453	830343.945
454	828576.3079
455	828366.6529
456	826919.6175
457	823948.3635
458	821818.7465
459	820255.4057
460	818939.017
461	817744.228
462	815428.3014
463	813128.6669
464	812268.9442
465	810506.287
466	810425.4844
467	808761.1358
468	807461.7018
469	807040.8173
470	805257.3013
471	804141.8114
472	804048.3636
473	802199.3472
474	802108.3689
475	800260.861
476	798621.5731
477	798552.7566
478	798508.9535
479	797265.1433
480	795083.7859
481	793120.9499
482	791792.7799
483	789562.0403
484	789236.5199
485	787456.774
486	785112.2027
487	783351.8043
488	780876.1313
489	779607.1011
490	779516.4962
491	778594.232
492	778380.0514
493	775520.5002
494	772706.2709
495	772240.457
496	772206.557
497	772138.5382
498	770704.2511
499	769595.0793
500	767916.7752
501	765811.4037
502	765774.9254
503	763603.5513
504	762995.1812
505	762046.5428
506	760169.0292
507	758460.4266
508	757976.9471
509	757181.9188
510	756238.832
511	755412.0632
512	754171.7825
513	752107.9051
514	750110.6614
515	748375.174
516	746732.5431
517	745509.989
518	743766.8738
519	741748.0568
520	741273.2054
521	741039.1035
522	739880.612
523	737862.4339
524	735458.8673
525	733860.2727
526	732779.4415
527	732075.3588
528	732033.4158
529	730613.5863
530	729594.8313
531	729407.2394
532	728779.4274
533	727410.1949
534	725192.1347
535	723439.2119
536	721469.7375
537	719885.0869
538	719152.3678
539	717253.2082
540	717029.3647
541	715978.2864
542	714661.2722
543	712776.0176
544	712744.2598
545	710928.9697
546	709993.8491
547	708219.6508
548	707269.9636
549	707215.2649
550	706179.7752
551	705138.377
552	703447.4228
553	703371.9438
554	701890.4581
555	701655.0769
556	699887.7566
557	698953.2315
558	697145.6051
559	695501.4505
560	694851.9742
561	692594.738
562	692154.0552
563	691070.8019
564	690328.4449
565	689845.1882
566	688661.286
567	687436.284
568	686256.1492
569	685600.635
570	684291.9911
571	682459.2608
572	682309.2641
573	681762.7276
574	680988.7867
575	680921.3674
576	679212.1632
577	677463.9518
578	676448.513
579	676250.592
580	676140.3514
581	674931.4189
582	674860.9224
583	673647.102
584	673615.4527
585	672055.8139
586	670957.0835
587	669524.1012
588	668678.8492
589	667958.3977
590	666153.7341
591	665649.3126
592	664376.1066
593	664296.7307
594	664236.3339
595	662500.6623
596	662298.024
597	662200.1658
598	661264.9146
599	660888.203
600	659620.2384
601	658539.0535
602	658144.3559
603	656598.2507
604	655213.626
605	653413.2716
606	653229.9606
607	651587.4978
608	650328.9821
609	650257.7053
610	649567.6016
611	648338.9953
612	648150.0857
613	647288.7736
614	646523.3066
615	646018.0627
616	644848.4965
617	643155.529
618	642991.4824
619	642378.3395
620	642015.5817
621	641706.1194
622	640984.0649
623	640694.2705
624	639829.9634
625	639148.9549
626	637385.1
627	637360.2436
628	636475.5867
629	635179.1424
630	634173.9318
631	632437.4494
632	631533.9462
633	630449.7517
634	629185.7798
635	628603.2599
636	627839.7776
637	626433.4402
638	625954.7194
639	624694.5149
640	624068.514
641	622798.3146
642	622473.673
643	621626.1499
644	621396.9106
645	620560.0677
646	619357.283
647	618230.1461
648	618194.4102
649	617922.0005
650	617518.0194
651	617442.5252
652	616213.6345
653	615097.3404
654	615056.1931
655	614119.7046
656	613324.064
657	612621.8806
658	611418.8262
659	610456.3806
660	609042.2126
661	607613.9005
662	606304.6675
663	605841.997
664	605808.1092
665	604579.5501
666	604555.4031
667	604528.1212
668	603272.5241
669	602896.4191
670	602843.6643
671	602014.5723
672	601714.8676
673	601492.8133
674	601424.7268
675	600758.5449
676	599065.9066
677	597847.3389
678	596876.262
679	596636.5983
680	596063.8437
681	594880.008
682	593428.6475
683	591406.5756
684	591388.6336
685	590493.5154
686	589435.7732
687	589132.1723
688	588463.732
689	587712.1408
690	587231.1488
691	586830.4966
692	585898.5825
693	585226.7568
694	584734.904
695	583917.2564
696	582757.1878
697	582445.1665
698	581078.7842
699	579636.928
700	578567.3739
701	578548.901
702	577875.5453
703	576700.9167
704	575474.3473
705	574381.5248
706	573575.5656
707	573110.2996
708	572380.7693
709	571461.5117
710	570746.3559
711	570671.9094
712	569520.6853
713	569456.183
714	569434.1962
715	568624.6661
716	568034.0674
717	567089.2717
718	566361.7265
719	565631.1165
720	564914.8964
721	563764.9011
722	563171.4926
723	562077.9546
724	561919.0621
725	560755.0883
726	559391.0641
727	559370.6094
728	559293.4989
729	558645.2467
730	557509.3858
731	556075.9267
732	555922.7203
733	555889.9276
734	555129.2405
735	555072.6068
736	554246.5422
737	553579.6287
738	553202.5737
739	552803.797
740	551949.688
741	550920.2011
742	550903.6534
743	550103.1882
744	549004.3974
745	547805.7295
746	547134.2576
747	546267.4571
748	545085.9618
749	545055.5536
750	544720.1982
751	544663.375
752	544113.4818
753	543786.9596
754	543773.4044
755	543739.4808
756	543218.4592
757	542279.3756
758	541588.0044
759	541043.8341
760	540041.3969
761	538978.5463
762	538623.9743
763	537244.2369
764	535955.0434
765	535410.0423
766	534697.5169
767	533855.9901
768	533537.213
769	532676.7222
770	531620.752
771	530547.2572
772	530274.442
773	529760.9999
774	528552.7398
775	528539.1184
776	526950.6247
777	526436.9754
778	525794.8565
779	525486.7039
780	524816.9648
781	524344.6191
782	523642.5515
783	522824.6312
784	522381.6769
785	521786.0536
786	520085.5483
787	519591.3161
788	519125.8014
789	518584.665
790	518565.0041
791	518256.426
792	517313.1566
793	516888.2938
794	516048.2198
795	514863.9437
796	514207.2149
797	513906.0821
798	512996.1931
799	512843.1938
800	512152.8479
801	512139.0389
802	512111.7453
803	511509.1624
804	511494.6812
805	511192.5534
806	510360.0146
807	510344.8218
808	509895.6321
809	509093.9564
810	508270.0662
811	507196.881
812	506721.7172
813	505993.5171
814	505570.6335
815	504959.0728
816	503993.1591
817	503222.5101
818	502705.1742
819	501946.0344
820	501326.7583
821	500518.2557
822	499528.5918
823	499450.0936
824	498456.0104
825	497474.0282
826	496690.8061
827	495656.7491
828	494923.8414
829	493905.9285
830	492968.2249
831	492473.6096
832	491487.0036
833	490776.0146
834	489985.3095
835	489970.8265
836	489164.9286
837	487752.7346
838	486872.2751
839	486154.5138
840	485353.7211
841	485305.9821
842	484486.1722
843	483876.3951
844	483840.8434
845	483400.9398
846	482582.7645
847	482232.5091
848	482218.3466
849	481617.0136
850	481029.2505
851	480704.5431
852	480612.6402
853	479708.5647
854	479068.8002
855	478091.457
856	477406.9689
857	476698.6196
858	476370.6008
859	476359.2547
860	476015.8819
861	475126.1517
862	474270.9388
863	473495.3291
864	473027.737
865	472583.1352
866	472072.4573
867	471180.544
868	471019.5792
869	470957.9899
870	470423.5701
871	469802.7603
872	469405.8674
873	468574.3487
874	468243.3256
875	467899.4338
876	467857.8058
877	467144.1481
878	467103.9797
879	467030.885
880	466379.1026
881	465472.1579
882	464965.5243
883	463780.7476
884	463090.5196
885	462583.2444
886	462191.6223
887	461398.5529
888	460485.687
889	459812.5363
890	458800.9001
891	458025.5038
892	457900.3518
893	457861.0702
894	457104.9765
895	456977.5269
896	456899.8861
897	455609.0628
898	454482.8469
899	453663.8958
900	452933.6165
901	452119.035
902	451057.2003
903	450992.7084
904	450275.3603
905	450264.342
906	449505.0761
907	448585.0135
908	448299.9002
909	447209.7984
910	447151.0985
911	447076.8098
912	447039.3405
913	446777.2977
914	446461.7808
915	446378.2578
916	446326.2231
917	445937.8427
918	445486.8999
919	445428.4293
920	444456.8518
921	443891.8147
922	443635.0052
923	443116.4837
924	442059.0581
925	441674.2855
926	441663.6364
927	441239.8962
928	440766.4901
929	440439.6529
930	439600.1752
931	438880.7491
932	438635.8285
933	437653.3822
934	437643.1897
935	437596.9725
936	437563.9886
937	437319.3604
938	436803.8159
939	436509.435
940	436498.2027
941	436054.6483
942	435188.921
943	434326.1348
944	433887.7645
945	433632.1575
946	433094.1341
947	432610.6216
948	432408.3886
949	431698.8992
950	430983.7525
951	430758.3501
952	430744.1299
953	430391.7857
954	429348.0429
955	429073.0335
956	429047.3849
957	429038.0781
958	428537.1409
959	428527.6221
960	428020.9011
961	427996.7375
962	426987.4641
963	426978.6642
964	426725.2064
965	426633.5951
966	426220.5744
967	426210.4402
968	425613.4246
969	425379.0523
970	424570.0205
971	424166.71
972	423706.0241
973	423620.6346
974	423610.8661
975	423297.6049
976	422665.3306
977	422592.8013
978	422445.5853
979	421843.8262
980	421791.3854
981	421740.341
982	421032.3601
983	420963.0892
984	420947.4512
985	420496.5039
986	420214.5659
987	419765.7972
988	419753.4011
989	419484.7031
990	419417.7019
991	418549.9508
992	418273.1917
993	417846.8281
994	417837.7298
995	417825.4621
996	416908.5352
997	416861.5207
998	416286.4583
999	416258.2456
